name,set,number,quantity,legality,image
Air Balloon,N/A,TOOL,3,LEGALI,AIRBALLOON
Thick Scale,N/A,TOOL,1,LEGALI,THICKSCALE
Technical Machine: Evolution,TM,TOOL,6,LEGALG,TMEVO
Technical Machine: Devolution,TM,TOOL,2,LEGALG,TMDEVO
Technical Machine: Crisis Punch,TM,TOOL,3,LEGALG,TMCRISIS
Technical Machine: Blindside,TM,TOOL,1,LEGALG,TMBLIND
Sparkling Crystal,ACE SPEC,TOOL,1,LEGALH,SPARKLINGCRYSTAL
Sacred Charm,N/A,TOOL,2,LEGALI,SACREDCHARM
Rigid Band,N/A,TOOL,2,LEGALG,RIGIDBAND
Rescue Board,N/A,TOOL,5,LEGALH,RESCUEBOARD
Punk Helmet,N/A,TOOL,4,LEGALI,PUNKHELMET
Powerglass,N/A,TOOL,9,LEGALH,POWERGLASS
Passho Berry,N/A,TOOL,1,LEGALH,PASSHOBERRY
Maximum Belt,ACE SPEC,TOOL,1,LEGALH,MAXBELT
Luxurious Cape,N/A,TOOL,2,LEGALG,LUXCAPE
Lucky Helmet,N/A,TOOL,1,LEGALH,LUCKYHELMET
Lillie's Pearl,N/A,TOOL,4,LEGALI,LILLIEPEARL
Hop's Choice Band,N/A,TOOL,5,LEGALI,HOPCHOICE
Heavy Baton,N/A,TOOL,1,LEGALH,HEAVYBATON
Handheld Fan,N/A,TOOL,1,LEGALH,HANDHELDFAN
Haban Berry,N/A,TOOL,1,LEGALH,HABANBERRY
Future Booster Energy Capsule,N/A,TOOL,4,LEGALG,FUTUREBOOSTER
Cynthia's Power Weight,N/A,TOOL,1,LEGALI,CYNTHIAPOWERWEIGHT
Colbur Berry,N/A,TOOL,2,LEGALH,COLBURBERRY
Choice Belt,N/A,TOOL,1,LEGALI,CHOICEBELT
Counter Gain,N/A,TOOL,4,LEGALH,COUNTERGAIN
Brave Bangle,N/A,TOOL,2,LEGALI,BRAVEBANGLE
Binding Mochi,N/A,TOOL,1,LEGALH,BINDINGMOCHI
Ancient Booster Energy Capsule,N/A,TOOL,1,LEGALG,ANCIENTBOOSTER
Acerola's Mischief,N/A,SUPPORTER,5,LEGALI,ACEROLAMISCH
Amarys,N/A,SUPPORTER,1,LEGALH,AMARYS
Anthea & Concordia,N/A,SUPPORTER,1,LEGALI,ANC
Arven,N/A,SUPPORTER,3,LEGALG,ARVEN
Billy & O'Nare,N/A,SUPPORTER,3,LEGALH,BILLYONARE
Black Belt's Training,N/A,SUPPORTER,14,LEGALH,BBTRAINING
Boss's Orders,N/A,SUPPORTER,5,LEGALI,BOSS
Briar,N/A,SUPPORTER,2,LEGALH,BRIAR
Brock's Scouting,N/A,SUPPORTER,14,LEGALI,BROCKS
Carmine,N/A,SUPPORTER,6,LEGALH,CARMINE
Ciphermaniac's Codebreaking,N/A,SUPPORTER,9,LEGALH,CIPHER
Clavell,N/A,SUPPORTER,1,LEGALG,CLAVELL
Clive,N/A,SUPPORTER,1,LEGALG,CLIVE
Colress's Tenacity,N/A,SUPPORTER,7,LEGALH,COLRESSTENACITY
Crispin,N/A,SUPPORTER,20,LEGALH,CRISPIN
Dawn,N/A,SUPPORTER,2,LEGALI,DAWN
